0,sys
1,dia
2,sys_t
3,sys_area
4,dia_t
5,dia_area
6,delta_t
7,delta_area
8,pulse_area
9,dia_sys_area_ratio
10,res_index
11,vvi_sys
12,vvi_dia
13,dw10
14,dw+sw10
15,dw/sw10
16,dw25
17,dw+sw25
18,dw/sw25
19,dw33
20,dw+sw33
21,dw/sw33
22,dw50
23,dw+sw50
24,dw/sw50
25,dw66
26,dw+sw66
27,dw/sw66
28,dw75
29,dw+sw75
30,dw/sw75
31,mean_frequency
32,total_power
33,normalized_power_at_peak
